1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
0.533,0.401,0.35,0.329,0.294,0.23,0.201,0.177,0.169,0.162,0.174,0.16,0.132,0.126,0.112,0.114,0.122,0.125,0.119,0.09,0.087,0.085,0.091,0.087,0.098,0.1,0.081,0.072,0.069,0.067
0.544,0.397,0.337,0.297,0.237,0.204,0.168,0.158,0.147,0.143,0.134,0.107,0.101,0.096,0.099,0.096,0.097,0.093,0.074,0.069,0.068,0.066,0.068,0.074,0.08,0.06,0.057,0.056,0.052,0.052
0.528,0.39,0.338,0.267,0.218,0.177,0.16,0.148,0.142,0.129,0.107,0.097,0.094,0.094,0.093,0.091,0.088,0.068,0.064,0.06,0.059,0.061,0.063,0.07,0.054,0.052,0.049,0.047,0.046,0.052
0.509,0.367,0.256,0.208,0.169,0.15,0.146,0.145,0.128,0.094,0.086,0.079,0.082,0.092,0.097,0.09,0.061,0.056,0.053,0.053,0.06,0.071,0.07,0.049,0.048,0.043,0.042,0.048,0.056,0.052
0.514,0.246,0.19,0.151,0.131,0.154,0.193,0.151,0.077,0.068,0.065,0.065,0.086,0.119,0.106,0.048,0.045,0.043,0.043,0.055,0.085,0.086,0.039,0.038,0.036,0.035,0.044,0.067,0.061,0.027
0.455,0.316,0.235,0.201,0.203,0.218,0.185,0.106,0.093,0.086,0.085,0.095,0.114,0.111,0.06,0.054,0.052,0.052,0.058,0.078,0.085,0.047,0.044,0.043,0.041,0.046,0.063,0.062,0.034,0.032
0.519,0.348,0.278,0.229,0.194,0.17,0.138,0.118,0.105,0.1,0.096,0.092,0.088,0.071,0.064,0.059,0.058,0.057,0.061,0.066,0.055,0.05,0.047,0.045,0.045,0.048,0.046,0.037,0.035,0.037
0.482,0.34,0.258,0.213,0.182,0.146,0.121,0.109,0.1,0.098,0.09,0.088,0.067,0.063,0.06,0.057,0.056,0.059,0.063,0.052,0.048,0.047,0.046,0.044,0.047,0.046,0.037,0.036,0.036,0.036
0.471,0.32,0.245,0.209,0.165,0.135,0.117,0.109,0.103,0.096,0.092,0.072,0.063,0.059,0.058,0.059,0.061,0.064,0.052,0.048,0.047,0.043,0.045,0.049,0.046,0.037,0.034,0.036,0.036,0.035
0.454,0.303,0.247,0.188,0.154,0.132,0.121,0.111,0.103,0.097,0.074,0.068,0.062,0.061,0.061,0.065,0.068,0.051,0.047,0.046,0.044,0.045,0.049,0.046,0.038,0.037,0.039,0.037,0.037,0.041
0.471,0.312,0.187,0.149,0.126,0.114,0.127,0.129,0.116,0.068,0.062,0.059,0.059,0.068,0.083,0.082,0.05,0.048,0.045,0.044,0.052,0.064,0.058,0.035,0.036,0.035,0.036,0.042,0.055,0.052
0.443,0.177,0.13,0.107,0.097,0.129,0.164,0.136,0.055,0.049,0.047,0.047,0.064,0.105,0.097,0.04,0.036,0.035,0.034,0.047,0.074,0.066,0.027,0.026,0.027,0.027,0.038,0.065,0.06,0.026
0.333,0.208,0.157,0.131,0.16,0.19,0.165,0.062,0.055,0.051,0.05,0.064,0.102,0.105,0.043,0.038,0.037,0.035,0.045,0.07,0.07,0.03,0.028,0.029,0.029,0.035,0.06,0.062,0.028,0.026
0.451,0.281,0.214,0.193,0.183,0.157,0.095,0.081,0.074,0.07,0.073,0.089,0.093,0.058,0.054,0.05,0.048,0.051,0.065,0.063,0.04,0.039,0.039,0.038,0.041,0.055,0.055,0.037,0.036,0.034
0.408,0.261,0.215,0.188,0.159,0.098,0.083,0.073,0.068,0.069,0.081,0.083,0.053,0.05,0.045,0.042,0.046,0.057,0.054,0.035,0.034,0.035,0.034,0.036,0.047,0.047,0.032,0.032,0.03,0.029
0.391,0.266,0.21,0.172,0.104,0.085,0.075,0.068,0.068,0.08,0.081,0.052,0.048,0.043,0.041,0.044,0.054,0.051,0.033,0.031,0.032,0.031,0.033,0.043,0.043,0.029,0.028,0.027,0.026,0.028
0.402,0.257,0.198,0.117,0.094,0.078,0.07,0.069,0.08,0.079,0.049,0.044,0.041,0.039,0.042,0.051,0.048,0.029,0.028,0.028,0.028,0.03,0.04,0.04,0.025,0.025,0.024,0.023,0.026,0.035
0.396,0.248,0.11,0.085,0.07,0.063,0.081,0.1,0.088,0.04,0.036,0.033,0.032,0.045,0.062,0.054,0.024,0.023,0.023,0.023,0.032,0.048,0.044,0.021,0.02,0.019,0.019,0.028,0.042,0.039
0.384,0.117,0.086,0.069,0.06,0.09,0.143,0.113,0.034,0.03,0.029,0.029,0.043,0.079,0.065,0.02,0.019,0.019,0.019,0.029,0.058,0.053,0.018,0.017,0.017,0.016,0.025,0.049,0.045,0.015
0.233,0.147,0.107,0.088,0.116,0.167,0.143,0.041,0.036,0.033,0.031,0.044,0.076,0.072,0.022,0.021,0.02,0.02,0.028,0.054,0.055,0.019,0.018,0.017,0.017,0.023,0.044,0.046,0.016,0.014
0.379,0.229,0.169,0.141,0.14,0.122,0.076,0.063,0.055,0.05,0.051,0.06,0.054,0.035,0.033,0.032,0.032,0.033,0.043,0.042,0.028,0.027,0.025,0.024,0.026,0.034,0.034,0.023,0.02,0.02
0.364,0.237,0.184,0.168,0.143,0.092,0.078,0.069,0.058,0.059,0.065,0.061,0.041,0.039,0.037,0.037,0.038,0.048,0.046,0.031,0.031,0.03,0.029,0.031,0.038,0.036,0.025,0.025,0.024,0.023
0.381,0.253,0.215,0.181,0.114,0.096,0.083,0.07,0.066,0.078,0.07,0.046,0.042,0.043,0.042,0.043,0.055,0.052,0.035,0.035,0.034,0.033,0.034,0.043,0.043,0.03,0.028,0.027,0.027,0.031
0.381,0.267,0.212,0.132,0.108,0.091,0.076,0.078,0.086,0.075,0.046,0.043,0.043,0.044,0.045,0.058,0.055,0.035,0.035,0.034,0.032,0.037,0.046,0.044,0.029,0.028,0.026,0.028,0.031,0.041
0.41,0.261,0.121,0.096,0.081,0.07,0.09,0.107,0.084,0.039,0.038,0.037,0.037,0.052,0.071,0.062,0.03,0.03,0.027,0.026,0.038,0.053,0.047,0.024,0.022,0.023,0.023,0.034,0.05,0.044
0.404,0.125,0.092,0.077,0.066,0.096,0.147,0.106,0.033,0.03,0.03,0.03,0.047,0.089,0.074,0.024,0.023,0.023,0.021,0.033,0.065,0.057,0.02,0.018,0.018,0.019,0.03,0.058,0.051,0.018
0.268,0.17,0.129,0.105,0.13,0.176,0.14,0.046,0.04,0.038,0.038,0.052,0.089,0.087,0.031,0.028,0.027,0.025,0.035,0.061,0.063,0.024,0.022,0.02,0.021,0.03,0.055,0.055,0.02,0.019
0.392,0.256,0.19,0.162,0.151,0.126,0.084,0.074,0.067,0.063,0.062,0.071,0.068,0.049,0.046,0.043,0.039,0.041,0.048,0.047,0.035,0.033,0.032,0.032,0.035,0.041,0.04,0.03,0.028,0.026
0.39,0.251,0.197,0.174,0.137,0.095,0.082,0.074,0.065,0.064,0.073,0.068,0.048,0.045,0.043,0.041,0.041,0.049,0.049,0.033,0.034,0.032,0.032,0.035,0.043,0.044,0.03,0.029,0.027,0.026
0.392,0.259,0.214,0.171,0.114,0.094,0.084,0.074,0.072,0.083,0.074,0.053,0.049,0.047,0.044,0.047,0.058,0.053,0.038,0.034,0.036,0.034,0.038,0.048,0.047,0.032,0.03,0.029,0.027,0.028
0.384,0.262,0.194,0.126,0.104,0.091,0.082,0.077,0.087,0.077,0.051,0.049,0.048,0.046,0.048,0.057,0.054,0.036,0.034,0.033,0.033,0.037,0.045,0.045,0.029,0.028,0.026,0.026,0.028,0.037
0.41,0.253,0.125,0.101,0.088,0.078,0.091,0.109,0.088,0.047,0.043,0.041,0.039,0.054,0.072,0.063,0.032,0.031,0.03,0.03,0.041,0.055,0.052,0.027,0.025,0.024,0.023,0.032,0.044,0.039
0.39,0.129,0.097,0.081,0.069,0.097,0.149,0.11,0.038,0.035,0.033,0.031,0.047,0.086,0.07,0.026,0.023,0.023,0.023,0.036,0.065,0.057,0.022,0.02,0.019,0.018,0.028,0.051,0.044,0.016
0.252,0.163,0.124,0.102,0.127,0.177,0.144,0.048,0.043,0.039,0.036,0.051,0.087,0.083,0.03,0.027,0.027,0.026,0.037,0.066,0.066,0.024,0.023,0.021,0.019,0.027,0.049,0.049,0.018,0.016
0.394,0.257,0.194,0.159,0.15,0.126,0.088,0.076,0.067,0.06,0.059,0.065,0.062,0.045,0.04,0.04,0.037,0.042,0.048,0.046,0.035,0.031,0.029,0.029,0.029,0.034,0.033,0.023,0.023,0.021
0.406,0.268,0.2,0.179,0.146,0.106,0.093,0.079,0.069,0.066,0.074,0.068,0.05,0.048,0.044,0.042,0.046,0.052,0.052,0.037,0.037,0.033,0.032,0.033,0.04,0.039,0.026,0.025,0.025,0.024
0.4,0.259,0.215,0.173,0.124,0.105,0.089,0.077,0.073,0.078,0.073,0.051,0.048,0.046,0.047,0.048,0.054,0.052,0.038,0.036,0.036,0.032,0.033,0.039,0.039,0.028,0.026,0.027,0.025,0.027
0.39,0.273,0.207,0.144,0.12,0.103,0.088,0.083,0.086,0.077,0.056,0.052,0.048,0.05,0.05,0.06,0.055,0.039,0.038,0.035,0.034,0.035,0.042,0.04,0.028,0.028,0.028,0.026,0.027,0.033
0.415,0.258,0.142,0.116,0.096,0.081,0.097,0.106,0.088,0.05,0.047,0.042,0.042,0.059,0.074,0.063,0.035,0.033,0.031,0.029,0.04,0.052,0.047,0.026,0.025,0.025,0.023,0.031,0.04,0.035
0.405,0.143,0.107,0.087,0.072,0.099,0.149,0.109,0.038,0.034,0.033,0.034,0.052,0.093,0.076,0.027,0.026,0.023,0.022,0.034,0.061,0.053,0.02,0.018,0.018,0.017,0.025,0.045,0.038,0.015
0.281,0.182,0.136,0.108,0.129,0.175,0.143,0.052,0.045,0.041,0.039,0.055,0.091,0.086,0.032,0.029,0.027,0.025,0.034,0.059,0.058,0.023,0.021,0.02,0.019,0.025,0.042,0.042,0.017,0.016
0.4,0.262,0.196,0.163,0.155,0.131,0.092,0.076,0.066,0.063,0.063,0.072,0.067,0.048,0.045,0.042,0.038,0.039,0.047,0.045,0.032,0.03,0.03,0.027,0.029,0.035,0.033,0.025,0.023,0.023
0.416,0.272,0.209,0.183,0.153,0.11,0.093,0.079,0.072,0.072,0.078,0.072,0.052,0.049,0.043,0.041,0.042,0.049,0.047,0.035,0.033,0.033,0.03,0.028,0.034,0.034,0.026,0.023,0.024,0.025
0.413,0.276,0.222,0.182,0.131,0.109,0.093,0.084,0.079,0.085,0.078,0.056,0.053,0.05,0.046,0.045,0.054,0.049,0.036,0.035,0.032,0.031,0.03,0.037,0.034,0.026,0.024,0.025,0.027,0.032
0.414,0.285,0.224,0.156,0.129,0.109,0.096,0.093,0.096,0.085,0.059,0.056,0.05,0.048,0.048,0.055,0.05,0.037,0.036,0.035,0.033,0.033,0.038,0.037,0.027,0.027,0.027,0.029,0.036,0.034
0.428,0.276,0.149,0.117,0.099,0.088,0.106,0.12,0.097,0.053,0.049,0.043,0.041,0.057,0.07,0.06,0.031,0.03,0.028,0.029,0.037,0.047,0.041,0.024,0.023,0.024,0.033,0.044,0.042,0.036
0.416,0.151,0.114,0.094,0.078,0.112,0.165,0.122,0.043,0.039,0.034,0.033,0.051,0.09,0.073,0.027,0.024,0.023,0.023,0.032,0.058,0.05,0.019,0.018,0.019,0.032,0.052,0.049,0.041,0.018
0.29,0.192,0.145,0.117,0.142,0.194,0.16,0.055,0.049,0.041,0.038,0.052,0.088,0.085,0.031,0.029,0.026,0.025,0.033,0.057,0.055,0.022,0.021,0.022,0.032,0.051,0.05,0.045,0.02,0.02
0.412,0.277,0.21,0.178,0.168,0.138,0.099,0.085,0.072,0.064,0.064,0.071,0.066,0.049,0.045,0.04,0.04,0.041,0.046,0.045,0.033,0.031,0.03,0.033,0.039,0.039,0.037,0.029,0.028,0.028
0.404,0.268,0.214,0.188,0.157,0.113,0.099,0.082,0.071,0.069,0.074,0.07,0.051,0.047,0.045,0.044,0.043,0.048,0.045,0.036,0.033,0.031,0.035,0.044,0.04,0.037,0.03,0.031,0.028,0.029
0.394,0.273,0.225,0.185,0.127,0.109,0.091,0.078,0.077,0.082,0.074,0.052,0.051,0.046,0.045,0.043,0.05,0.048,0.035,0.032,0.032,0.033,0.042,0.042,0.038,0.027,0.031,0.03,0.029,0.032
0.417,0.298,0.236,0.162,0.135,0.113,0.095,0.091,0.094,0.086,0.059,0.056,0.052,0.05,0.05,0.058,0.057,0.04,0.036,0.037,0.039,0.047,0.047,0.044,0.033,0.033,0.032,0.034,0.036,0.04
0.437,0.287,0.153,0.128,0.099,0.088,0.105,0.12,0.095,0.051,0.049,0.046,0.044,0.057,0.07,0.059,0.034,0.032,0.034,0.044,0.058,0.054,0.048,0.028,0.029,0.029,0.03,0.038,0.047,0.042
0.424,0.15,0.116,0.09,0.073,0.106,0.161,0.116,0.041,0.037,0.033,0.031,0.048,0.084,0.069,0.026,0.025,0.026,0.042,0.069,0.063,0.052,0.022,0.022,0.024,0.023,0.031,0.052,0.047,0.024
0.279,0.189,0.137,0.109,0.132,0.189,0.154,0.051,0.045,0.039,0.037,0.049,0.086,0.082,0.029,0.026,0.029,0.043,0.068,0.064,0.06,0.025,0.024,0.025,0.025,0.033,0.051,0.052,0.026,0.026
0.419,0.266,0.2,0.167,0.161,0.133,0.092,0.083,0.072,0.062,0.059,0.07,0.063,0.045,0.042,0.041,0.044,0.054,0.051,0.049,0.037,0.036,0.035,0.035,0.038,0.044,0.043,0.036,0.036,0.037
0.395,0.258,0.2,0.177,0.146,0.101,0.089,0.074,0.068,0.063,0.068,0.064,0.049,0.043,0.041,0.043,0.051,0.049,0.047,0.039,0.038,0.035,0.037,0.037,0.042,0.042,0.033,0.035,0.033,0.032
0.39,0.267,0.221,0.177,0.12,0.106,0.089,0.076,0.072,0.085,0.075,0.053,0.048,0.047,0.049,0.061,0.058,0.055,0.041,0.04,0.041,0.038,0.042,0.05,0.049,0.038,0.037,0.036,0.036,0.037
0.392,0.279,0.217,0.145,0.121,0.102,0.085,0.079,0.09,0.08,0.052,0.052,0.047,0.054,0.066,0.062,0.055,0.041,0.04,0.04,0.041,0.044,0.052,0.052,0.041,0.038,0.039,0.039,0.04,0.046
0.421,0.264,0.132,0.11,0.091,0.075,0.094,0.111,0.09,0.046,0.044,0.043,0.061,0.08,0.071,0.063,0.035,0.036,0.036,0.037,0.048,0.06,0.054,0.034,0.034,0.035,0.036,0.047,0.056,0.051
0.392,0.13,0.099,0.079,0.064,0.091,0.149,0.106,0.035,0.033,0.034,0.057,0.092,0.084,0.068,0.028,0.028,0.028,0.028,0.039,0.065,0.057,0.028,0.029,0.029,0.03,0.039,0.059,0.055,0.035
0.247,0.166,0.119,0.096,0.117,0.171,0.138,0.045,0.038,0.039,0.057,0.092,0.083,0.075,0.031,0.029,0.029,0.03,0.039,0.063,0.063,0.03,0.031,0.032,0.032,0.04,0.057,0.057,0.036,0.037
0.385,0.242,0.183,0.151,0.146,0.119,0.082,0.069,0.065,0.062,0.075,0.069,0.063,0.048,0.048,0.045,0.043,0.047,0.056,0.053,0.044,0.043,0.041,0.041,0.044,0.051,0.046,0.04,0.041,0.04
0.365,0.234,0.182,0.168,0.131,0.09,0.078,0.067,0.067,0.077,0.069,0.063,0.048,0.048,0.048,0.044,0.048,0.055,0.054,0.042,0.042,0.042,0.04,0.043,0.048,0.045,0.04,0.041,0.04,0.041
0.37,0.246,0.202,0.154,0.113,0.093,0.085,0.077,0.086,0.076,0.07,0.054,0.055,0.056,0.053,0.053,0.061,0.058,0.049,0.049,0.05,0.044,0.047,0.053,0.052,0.046,0.048,0.047,0.048,0.045
0.361,0.255,0.193,0.144,0.114,0.099,0.096,0.107,0.092,0.087,0.071,0.068,0.069,0.065,0.072,0.078,0.074,0.064,0.063,0.063,0.062,0.065,0.07,0.066,0.06,0.063,0.061,0.062,0.06,0.062
0.386,0.238,0.127,0.102,0.088,0.109,0.125,0.103,0.086,0.053,0.052,0.052,0.052,0.068,0.08,0.071,0.048,0.048,0.048,0.05,0.058,0.067,0.065,0.05,0.051,0.053,0.053,0.057,0.059,0.058
0.375,0.123,0.092,0.08,0.114,0.156,0.125,0.098,0.039,0.038,0.038,0.039,0.055,0.085,0.073,0.036,0.036,0.037,0.038,0.049,0.071,0.065,0.042,0.043,0.045,0.049,0.053,0.06,0.058,0.051
0.234,0.149,0.116,0.143,0.181,0.144,0.117,0.046,0.044,0.042,0.042,0.053,0.081,0.082,0.039,0.038,0.04,0.04,0.048,0.069,0.068,0.042,0.044,0.046,0.05,0.052,0.06,0.059,0.05,0.05
0.35,0.214,0.171,0.16,0.128,0.106,0.082,0.076,0.067,0.066,0.065,0.071,0.069,0.059,0.054,0.057,0.052,0.054,0.059,0.055,0.05,0.047,0.051,0.052,0.048,0.048,0.049,0.046,0.043,0.045
0.328,0.212,0.178,0.142,0.122,0.093,0.084,0.073,0.07,0.071,0.077,0.068,0.055,0.059,0.056,0.054,0.057,0.061,0.059,0.049,0.051,0.05,0.05,0.051,0.054,0.05,0.048,0.047,0.046,0.044
0.333,0.231,0.169,0.135,0.093,0.083,0.078,0.073,0.072,0.08,0.073,0.056,0.052,0.054,0.05,0.055,0.062,0.062,0.047,0.048,0.048,0.049,0.051,0.053,0.053,0.049,0.047,0.049,0.047,0.047
0.37,0.217,0.146,0.074,0.068,0.06,0.056,0.071,0.085,0.072,0.042,0.041,0.042,0.044,0.056,0.067,0.061,0.041,0.042,0.045,0.048,0.052,0.056,0.053,0.049,0.049,0.049,0.049,0.049,0.047
0.364,0.201,0.073,0.062,0.056,0.052,0.067,0.099,0.082,0.037,0.036,0.037,0.038,0.052,0.072,0.067,0.04,0.041,0.045,0.049,0.053,0.063,0.059,0.051,0.05,0.05,0.051,0.051,0.051,0.052
0.36,0.113,0.089,0.073,0.066,0.087,0.126,0.101,0.042,0.04,0.04,0.042,0.056,0.081,0.072,0.044,0.045,0.048,0.05,0.056,0.065,0.062,0.052,0.052,0.052,0.053,0.052,0.054,0.054,0.054
0.235,0.159,0.12,0.101,0.119,0.16,0.129,0.055,0.051,0.052,0.05,0.061,0.087,0.081,0.049,0.05,0.051,0.054,0.058,0.066,0.067,0.056,0.056,0.057,0.054,0.053,0.052,0.054,0.055,0.02
0.377,0.244,0.186,0.156,0.142,0.119,0.091,0.08,0.076,0.069,0.07,0.074,0.068,0.061,0.058,0.057,0.057,0.056,0.057,0.057,0.055,0.053,0.052,0.049,0.05,0.049,0.048,0.049,0.018,
0.374,0.246,0.184,0.164,0.135,0.104,0.095,0.084,0.075,0.073,0.076,0.071,0.061,0.061,0.063,0.06,0.056,0.058,0.056,0.053,0.054,0.053,0.05,0.048,0.048,0.048,0.05,0.02,,
0.38,0.25,0.197,0.158,0.119,0.107,0.094,0.083,0.079,0.081,0.078,0.067,0.063,0.061,0.061,0.058,0.058,0.058,0.052,0.054,0.052,0.05,0.047,0.047,0.049,0.049,0.019,,,
0.369,0.245,0.184,0.136,0.118,0.102,0.088,0.085,0.085,0.075,0.064,0.064,0.064,0.063,0.06,0.061,0.059,0.055,0.053,0.052,0.05,0.05,0.05,0.049,0.05,0.02,,,,
0.389,0.244,0.148,0.126,0.109,0.093,0.103,0.108,0.093,0.072,0.071,0.071,0.069,0.072,0.074,0.071,0.063,0.06,0.06,0.06,0.06,0.059,0.059,0.057,0.022,,,,,
0.376,0.155,0.123,0.106,0.087,0.102,0.135,0.105,0.063,0.062,0.063,0.066,0.068,0.078,0.071,0.061,0.058,0.059,0.057,0.056,0.057,0.058,0.058,0.02,,,,,,
0.276,0.186,0.147,0.114,0.126,0.154,0.132,0.072,0.069,0.07,0.069,0.07,0.078,0.075,0.063,0.061,0.062,0.059,0.058,0.06,0.061,0.06,0.022,,,,,,,
0.393,0.26,0.188,0.159,0.14,0.122,0.101,0.089,0.085,0.081,0.074,0.069,0.067,0.064,0.059,0.059,0.057,0.055,0.053,0.054,0.055,0.021,,,,,,,,
0.393,0.245,0.192,0.165,0.139,0.115,0.101,0.091,0.087,0.079,0.074,0.071,0.067,0.066,0.064,0.061,0.057,0.058,0.057,0.058,0.022,,,,,,,,,
0.386,0.248,0.196,0.158,0.127,0.11,0.098,0.093,0.083,0.076,0.075,0.07,0.066,0.063,0.06,0.058,0.058,0.058,0.057,0.022,,,,,,,,,,
0.389,0.254,0.194,0.151,0.129,0.114,0.101,0.09,0.086,0.081,0.073,0.069,0.066,0.064,0.06,0.06,0.06,0.061,0.021,,,,,,,,,,,
0.407,0.261,0.179,0.148,0.129,0.116,0.105,0.098,0.09,0.081,0.073,0.073,0.069,0.065,0.062,0.063,0.064,0.023,,,,,,,,,,,,
0.399,0.192,0.153,0.134,0.121,0.117,0.122,0.102,0.081,0.075,0.074,0.07,0.066,0.068,0.067,0.065,0.024,,,,,,,,,,,,,
0.314,0.218,0.175,0.149,0.136,0.136,0.118,0.088,0.081,0.078,0.073,0.069,0.068,0.068,0.068,0.024,,,,,,,,,,,,,,
0.407,0.27,0.208,0.164,0.138,0.118,0.103,0.09,0.083,0.074,0.069,0.067,0.068,0.068,0.024,,,,,,,,,,,,,,,
0.403,0.27,0.198,0.162,0.134,0.119,0.102,0.092,0.083,0.075,0.073,0.071,0.069,0.024,,,,,,,,,,,,,,,,
0.402,0.252,0.19,0.152,0.13,0.11,0.099,0.088,0.077,0.073,0.07,0.069,0.023,,,,,,,,,,,,,,,,,
0.391,0.257,0.192,0.156,0.131,0.112,0.098,0.085,0.079,0.076,0.076,0.026,,,,,,,,,,,,,,,,,,
0.4,0.259,0.194,0.151,0.128,0.11,0.093,0.087,0.082,0.08,0.027,,,,,,,,,,,,,,,,,,,
0.397,0.237,0.177,0.148,0.124,0.106,0.099,0.09,0.082,0.028,,,,,,,,,,,,,,,,,,,,
0.368,0.238,0.188,0.147,0.124,0.111,0.101,0.093,0.03,,,,,,,,,,,,,,,,,,,,,
0.396,0.263,0.194,0.15,0.128,0.113,0.104,0.033,,,,,,,,,,,,,,,,,,,,,,
0.406,0.259,0.188,0.152,0.13,0.118,0.038,,,,,,,,,,,,,,,,,,,,,,,
0.394,0.25,0.193,0.158,0.136,0.046,,,,,,,,,,,,,,,,,,,,,,,,
0.397,0.261,0.2,0.164,0.051,,,,,,,,,,,,,,,,,,,,,,,,,
0.396,0.265,0.204,0.065,,,,,,,,,,,,,,,,,,,,,,,,,,
0.406,0.264,0.083,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.414,0.121,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,