date,channelid,count(t1.distinct_id),count(t2.distinct_id),count(t2.distinct_id) / count(t1.distinct_id),,,count(t1.distinct_id),(多项)
2021/2/26,116,2070,640,0.309,,,,
2021/2/26,1497,3,2,0.667,,,行标签,求和项:count(t2.distinct_id) / count(t1.distinct_id)
2021/2/26,1290,9,1,0.111,,,1001,0.349
2021/2/26,1358,22,4,0.182,,,113,0.322
2021/2/26,122,7863,2518,0.32,,,122,0.32
2021/2/26,1504,3,2,0.667,,,111,0.316
2021/2/26,1362,4,1,0.25,,,116,0.309
2021/2/26,1001,4041,1411,0.349,,,131,0.295
2021/2/26,1353,1,0,0,,,130,0.274
2021/2/26,1297,1,0,0,,,1446,0.246
2021/2/26,1459,4,0,0,,,总计,2.431
2021/2/26,1365,1,0,0,,,,
2021/2/26,1502,26,10,0.385,,,,
2021/2/26,1447,723,179,0.248,,,,
2021/2/26,131,12430,3669,0.295,,,,
2021/2/26,130,3294,901,0.274,,,,
2021/2/26,1501,3,2,0.667,,,,
2021/2/26,1236,2,0,0,,,,
2021/2/26,112,79,33,0.418,,,,
2021/2/26,1349,2,1,0.5,,,,
2021/2/26,125,61,21,0.344,,,,
2021/2/26,1292,1,0,0,,,,
2021/2/26,1461,1,0,0,,,,
2021/2/26,-1,190,64,0.337,,,,
2021/2/26,1238,42,15,0.357,,,,
2021/2/26,1366,1,1,1,,,,
2021/2/26,1446,2063,507,0.246,,,,
2021/2/26,1507,3,1,0.333,,,,
2021/2/26,1449,3,0,0,,,,
2021/2/26,1492,4,0,0,,,,
2021/2/26,111,2381,753,0.316,,,,
2021/2/26,1348,1,0,0,,,,
2021/2/26,114,734,257,0.35,,,,
2021/2/26,113,4674,1503,0.322,,,,
2021/2/26,1291,3,0,0,,,,